156 HD_90156_b 0.0565295 0.84 0.249855 0.31
157 Pr_211_b 1.84394 0.952 0.0320419 0
158 Kepler-6_b 0.669376 1.209 0.0456089 0
159 24_Sex_c 1.3623 1.54 2.1229 0.412
160 HD_60532_c 2.46312 1.44 1.57999 0.02
161 HD_68988_b 1.79992 1.124 0.0692771 0.1249
162 HAT-P-26_b 0.0586489 0.816 0.0478684 0.124
163 HD_149143_b 1.32811 1.2 0.0530508 0.016
164 HD_79498_b 1.34632 1.06 3.13296 0.59
165 HD_181433_c 0.640416 0.78 1.75604 0.28
166 70_Vir_b 7.46144 1.101 0.483601 0.4007
167 HD_102365_b 0.0509774 0.89 0.463328 0.34
168 BD_-08_2823_b 0.045941 0.74 0.0558236 0.15
169 CoRoT-11_b 2.34813 1.27 0.0440549 0
170 GJ_436_b 0.0726979 0.452 0.0287188 0.16
171 HD_41004_B_b 18.4135 0.4 0.0176759 0.081
172 WASP-37_b 1.79362 0.925 0.0446312 0
173 HD_6718_b 1.5591 0.96 3.55427 0.1
174 HD_33636_b 9.26951 1.017 3.26519 0.4805
175 HAT-P-40_b 0.6202 1.512 0.060845 0
176 HD_240237_b 5.31949 1.69 1.91887 0.4
177 rho_CrB_b 1.06409 0.965 0.225692 0.057
178 HD_11977_b 6.51995 1.91 1.93643 0.4
179 HD_73534_b 1.10389 1.229 3.06829 0.074
180 HD_164604_b 2.6885 0.8 1.30299 0.24
182 HD_37124_c 0.648109 0.85 1.70993 0.125
183 HD_217107_c 2.61546 1.108 5.33414 0.517222
184 HD_74156_b 1.77342 1.238 0.291535 0.63
185 Kepler-43_b 3.23143 1.32 0.0449294 0
186 WASP-13_b 0.479386 1.09 0.0537035 0
187 HD_13931_b 1.88123 1.022 5.14931 0.02
188 HAT-P-18_b 0.197205 0.77 0.0559503 0.084
189 HD_155358_c 0.807031 0.87 1.00082 0.16
190 WASP-43_b 1.77609 0.58 0.0142363 0
191 Kepler-39_b 18.1805 1.1 0.155007 0.121
192 14_And_b 4.68383 2.15 0.823151 0
193 81_Cet_b 5.34087 2.4 2.53876 0.206
195 CoRoT-3_b 21.8549 1.37 0.0573788 0
196 HAT-P-38_b 0.267569 0.886 0.0522992 0.067
197 Kepler-18_d 0.0516 0.972 0.117171 0.000521567
198 mu_Ara_e 0.543322 1.147 0.93961 0.0666
199 HD_136118_b 11.6809 1.191 2.33328 0.338
200 HD_6434_b 0.397195 0.79 0.142061 0.17
201 HD_5319_b 1.93773 1.56 1.74656 0.12
202 HD_231701_b 1.08667 1.14 0.555583 0.1
203 CoRoT-18_b 3.48652 0.95 0.0295483 0.04
204 HD_75898_b 2.51504 1.28 1.18906 0.1
205 GJ_1214_b 0.0203507 0.157 0.0143253 0
206 16_Cyg_B_b 1.63997 0.956 1.66027 0.681
207 HAT-P-25_b 0.567181 1.01 0.0465813 0.032
208 HD_213240_b 4.53249 1.143 1.88529 0.421
209 HD_12661_b 2.3408 1.136 0.838172 0.376834
210 Kepler-9_c 0.168671 1 0.22473 0.132575
211 HD_74156_c 8.24664 1.238 3.8997 0.38
212 HD_20794_c 0.00743617 0.7 0.203628 0
213 HD_38801_b 10.7604 1.36 1.70768 0
214 HD_132563_B_b 1.49247 1.01 2.62431 0.22
215 GJ_667_C_c 0.0134408 0.33 0.125092 0.34
216 HD_207832_c 0.730294 0.94 2.1118 0.27
217 Kepler-44_b 1.02109 1.19 0.0454854 0
218 HD_5891_b 6.77867 1.61 0.724366 0.066
219 HD_173416_b 2.71808 2 1.16272 0.21
220 HD_76700_b 0.232142 1.129 0.0511051 0.095
221 HD_39091_b 10.088 1.071 3.34651 0.6405
222 HD_7449_b 1.3131 1.05 2.33982 0.82
223 HD_149026_b 0.361471 1.294 0.0431325 0
