#Nombre_Planeta M_Planeta(M_Jupiter) M_Estrella(M_Sol)
HD_4308_b 0.0477376 0.933
HD_4313_b 2.34791 1.72
HD_43197_b 0.596868 0.96
HD_43691_b 2.49717 1.38
HD_44219_b 0.589265 1
HD_45350_b 1.83614 1.054
HD_45364_b 0.187149 0.82
HD_45364_c 0.658513 0.82
HD_45652_b 0.468448 0.83
HD_46375_b 0.227201 0.927
HD_47186_b 0.071203 0.99
HD_47186_c 0.348285 0.99
HD_4732_b 2.37727 1.74
HD_4732_c 2.36493 1.74
HD_48265_b 1.20645 0.93
HD_49674_b 0.101571 1.015
HD_50499_b 1.74473 1.28
HD_50554_b 4.39876 1.025
HD_52265_b 1.07139 1.17
HD_5319_b 1.93773 1.56
HD_5388_b 1.96509 1.21
HD_5608_b 1.40789 1.55
HD_5891_b 6.77867 1.61
HD_60532_b 1.0348 1.44
HD_60532_c 2.46312 1.44
HD_63454_b 0.384566 0.8
HD_63765_b 0.643827 0.865
HD_6434_b 0.397195 0.79
HD_65216_b 1.21636 0.92
HD_66428_b 2.74962 1.061
HD_6718_b 1.5591 0.96
HD_68988_b 1.79992 1.124
HD_69830_b 0.0316488 0.849
HD_69830_c 0.0367709 0.849
HD_69830_d 0.0563373 0.849
HD_70642_b 1.90944 1.002
HD_7199_b 0.295018 0.89
HD_72659_b 3.1741 1.068
HD_73256_b 1.86902 1.05
HD_73267_b 3.06257 0.89
HD_73526_b 2.8556 1.014
HD_73526_c 2.4209 1.014
HD_73534_b 1.10389 1.229
HD_74156_b 1.77342 1.238
HD_74156_c 8.24664 1.238
HD_7449_b 1.3131 1.05
HD_75289_b 0.46004 1.187
HD_75898_b 2.51504 1.28
HD_76700_b 0.232142 1.129
HD_77338_b 0.0498139 0.93
HD_7924_b 0.0291185 0.832
HD_79498_b 1.34632 1.06
HD_80606_b 3.89024 0.958
HD_81040_b 6.87654 0.96
HD_81688_b 2.6907 2.1
HD_82886_b 1.30477 1.06
HD_82943_b 1.73352 1.133
HD_82943_c 1.98927 1.133
HD_83443_b 0.395855 0.991
HD_8535_b 0.682196 1.13
HD_85390_b 0.131884 0.76
HD_85512_b 0.0113953 0.69
HD_8574_b 1.80603 1.122
HD_86081_b 1.49595 1.21
HD_86264_b 6.62738 1.4
HD_87883_b 1.75571 0.803
HD_88133_b 0.299445 1.2
HD_89307_b 1.79148 0.989
HD_89744_b 8.47248 1.558
HD_90156_b 0.0565295 0.84
HD_92788_b 3.56392 1.078
HD_93083_b 0.368176 0.7
HD_9446_b 0.698769 1
HD_9446_c 1.81548 1
HD_95089_b 1.23585 1.58
HD_96063_b 0.920067 1.02
HD_96127_b 4.00701 0.91
HD_96167_b 0.68457 1.31
HD_97658_b 0.0242781 0.78
HD_98219_b 1.83388 1.3
HD_99109_b 0.504198 0.94
HD_99492_b 0.106179 0.832
HD_99706_b 1.40289 1.72
HIP_12961_b 0.354314 0.67
HIP_14810_b 3.87441 0.99
HIP_14810_c 1.27518 0.99
HIP_14810_d 0.5806 0.99
HIP_2247_b 5.12319 0.74
HIP_5158_b 1.42633 0.78
HIP_57050_b 0.297735 0.34
HIP_57274_b 0.0365708 0.73
HIP_57274_c 0.410096 0.73
HIP_57274_d 0.528573 0.73
HIP_79431_b 2.11299 0.49
HR_8799_e 3.2863 1.516
iota_Dra_b 12.715 1.82
iota_Hor_b 2.04683 1.145
kappa_CrB_b 2.18571 1.84
KELT-2_A_b 1.52019 1.308
Kepler-10_b 0.0142142 0.895
Kepler-11_b 0.01352 0.95
Kepler-11_c 0.04247 0.95
Kepler-11_d 0.0191935 0.95
Kepler-11_e 0.0264262 0.95
Kepler-11_f 0.00723 0.95
Kepler-12_b 0.431855 1.166
Kepler-14_b 8.40643 1.512
Kepler-15_b 0.66177 1.018
Kepler-16_b 0.333 0.6897
Kepler-17_b 2.47651 1.16
Kepler-18_b 0.0216244 0.972
Kepler-18_c 0.054387 0.972
Kepler-18_d 0.0515706 0.972
Kepler-20_b 0.0266149 0.912
Kepler-20_c 0.0494862 0.912
Kepler-20_d 0.0236858 0.912
Kepler-34_b 0.22 1.0479
Kepler-35_b 0.127 0.8877
Kepler-36_b 0.0140374 1.071
Kepler-36_c 0.0254888 1.071
Kepler-39_b 18.1767 1.1
Kepler-40_b 2.17681 1.48
Kepler-41_b 0.493327 0.94
Kepler-43_b 3.21573 1.32
Kepler-44_b 1.01508 1.19
Kepler-45_b 0.510798 0.59
Kepler-4_b 0.0772272 1.223
Kepler-5_b 2.11222 1.374
Kepler-68_b 0.0238819 1.079
Kepler-68_c 0.0137538 1.079
Kepler-68_d 0.845413 1.079
Kepler-6_b 0.668332 1.209
Kepler-7_b 0.436942 1.347
Kepler-8_b 0.582607 1.213
Kepler-9_b 0.248865 1
Kepler-9_c 0.16858 1
KOI-200_b 0.665099 1.4
KOI-889_b 9.98356 0.88
mu_Ara_b 1.74552 1.147
mu_Ara_c 1.88907 1.147
mu_Ara_d 0.0345873 1.147
mu_Ara_e 0.543322 1.147
NGC_2423_3_b 10.6368 2.4
NGC_4349_127_b 19.8296 3.9
OGLE-2006-BLG-109L_c 0.239279 0.51
OGLE2-TR-L9_b 4.50213 1.52
OGLE-TR-10_b 0.626643 1.14
OGLE-TR-111_b 0.548481 0.852
OGLE-TR-113_b 1.25508 0.779
OGLE-TR-132_b 1.16945 1.305
OGLE-TR-182_b 1.02162 1.14
OGLE-TR-211_b 0.753425 1.33
OGLE-TR-56_b 1.35448 1.228
omega_Ser_b 1.70083 2.17
omicron_CrB_b 1.47736 2.13
omicron_UMa_b 4.09607 3.09
Pr_201_b 0.540155 1.234
Pr_211_b 1.84394 0.952
Qatar-1_b 1.08272 0.85
Qatar-2_b 2.483 0.74
rho_CrB_b 1.06409 0.965
tau_Boo_b 4.16707 1.341
tau_Gru_b 1.2147 1.238
TrES-1_b 0.752484 0.878
TrES-2_b 1.19316 0.983
TrES-3_b 1.87299 0.915
TrES-4_b 0.913019 1.394
TrES-5_b 1.77 0.893
upsilon_And_b 0.669277 1.31
upsilon_And_c 1.91855 1.31
upsilon_And_d 4.11582 1.31
WASP-10_b 3.19034 0.79
WASP-11_b 0.539752 0.8
WASP-12_b 1.34899 1.28
WASP-13_b 0.477697 1.09
WASP-14_b 7.65457 1.31
WASP-15_b 0.541448 1.18
WASP-16_b 0.839364 1
WASP-17_b 0.507667 1.19
WASP-18_b 10.0636 1.22
WASP-19_b 1.11405 0.93
WASP-1_b 0.827536 1.2
WASP-21_b 0.300201 1.01
WASP-22_b 0.559004 1.1
WASP-23_b 0.871881 0.78
WASP-24_b 1.08429 1.184
WASP-25_b 0.578118 1
WASP-26_b 1.00876 1.12
WASP-29_b 0.242938 0.825
WASP-2_b 0.904818 0.88
WASP-31_b 0.477154 1.165
WASP-32_b 3.441 1.07
WASP-34_b 0.581308 1.01
WASP-35_b 0.716644 1.07
WASP-36_b 2.25537 1.02
WASP-37_b 1.79324 0.925
WASP-38_b 2.70891 1.23
WASP-39_b 0.284135 0.93
WASP-3_b 2.00437 1.22
WASP-41_b 0.931742 0.95
WASP-42_b 0.496749 0.881
WASP-43_b 1.7613 0.58
WASP-44_b 0.88769 0.951
WASP-45_b 1.00188 0.909
WASP-46_b 2.08495 0.956
WASP-47_b 1.13635 1.084
WASP-48_b 0.969551 1.19
WASP-49_b 0.376728 0.938
WASP-4_b 1.22306 0.91
WASP-50_b 1.46438 0.892
WASP-52_b 0.45566 0.87
WASP-54_b 0.630293 1.213
WASP-55_b 0.57116 1.01
WASP-56_b 0.605178 1.107
WASP-57_b 0.675475 0.954
WASP-58_b 0.890462 0.94
WASP-59_b 0.859026 0.719
WASP-5_b 1.62047 1.01
WASP-61_b 2.05477 1.22
WASP-62_b 0.562022 1.25
WASP-63_b 0.377818 1.32
WASP-64_b 1.2691 1.004
WASP-66_b 2.30754 1.3
WASP-67_b 0.418184 0.87
WASP-6_b 0.521174 0.93
WASP-72_b 1.40552 1.327
WASP-77_A_b 0.119555 1.002
WASP-78_b 0.877779 1.33
WASP-79_b 0.884655 1.52
WASP-7_b 0.919256 1.2
WASP-80_b 0.551763 0.58
WASP-8_b 2.13728 1.03
xi_Aql_b 2.80661 2.2
XO-1_b 0.918265 1.027
XO-2_b 0.566435 0.974
XO-3_b 13.0547 1.41
XO-4_b 1.60219 1.32
XO-5_b 1.15082 1
