# NAME MSINI MSTAR A ECC
# mjupiter msun au 
Kepler-62_e  0.69 0.426299 0.13
HD_5388_b 1.96509 1.21 1.76349 0.4
CoRoT-10_b 2.75448 0.89 0.105463 0.53
11_UMi_b 11.0873 1.8 1.53498 0.08
WASP-62_b 0.562022 1.25 0.0567187 0
HD_4732_c 2.36493 1.74 4.60219 0.23
kappa_CrB_b 2.18571 1.84 2.85763 0.125
Kepler-25_b 0 1.22 0.0708678 0
HD_99492_b 0.106179 0.832 0.121908 0.254
HD_204941_b 0.26689 0.74 2.55427 0.37
HD_196050_b 2.8434 1.109 2.51056 0.228
WASP-11_b 0.539752 0.8 0.0436466 0
HD_111232_b 6.84182 0.78 1.97489 0.2
HD_117618_b 0.176652 1.069 0.174852 0.42
HD_180902_b 1.55713 1.52 1.37801 0.09
HIP_12961_b 0.354314 0.67 0.25497 0.166
HD_63454_b 0.384566 0.8 0.0362523 0
BD_+48_738_b 0.922011 0.74 0.949488 0.2
Kepler-62_c  0.69 0.0928559 0.186815
NGC_2423_3_b 10.6368 2.4 2.09673 0.21
Kepler-33_c  1.291 0.118876 0
HD_50499_b 1.74473 1.28 3.87172 0.253675
CoRoT-14_b 7.56823 1.13 0.0269122 0
CoRoT-4_b 0.717419 1.16 0.0903166 0
HAT-P-19_b 0.292129 0.842 0.0466409 0.067
Kepler-24_c 0 1.03 0.105496 0
Kepler-47_c  1.043 0.895669 0
Kepler-33_f  1.291 0.253499 0
HD_2039_b 5.92499 1.123 2.19755 0.715
Kepler-36_c 0.0254888 1.071 0.128401 0
XO-2_b 0.566435 0.974 0.0368367 0
Kepler-11_d 0.0191935 0.95 0.154183 0
HD_187085_b 0.803694 1.143 2.02754 0.47
HD_118203_b 2.13623 1.23 0.0702997 0.309
WASP-63_b 0.377818 1.32 0.0574592 0
Kepler-30_b 0 0.99 0.185524 0.042
HD_175167_b 7.77836 1.102 2.40085 0.54
HAT-P-16_b 4.1951 1.218 0.0413275 0.036
TrES-4_b 0.913019 1.394 0.0509243 0
NGC_4349_127_b 19.8296 3.9 2.38084 0.19
GJ_676_A_b 4.89701 0.71 1.81539 0.326
Kepler-60_b  1.11 0.0750769 
HD_47186_c 0.348285 0.99 2.38704 0.249
HIP_14810_d 0.5806 0.99 1.88623 0.165251
HD_142245_b 1.89038 1.69 2.77628 0
Kepler-59_c  1.04 0.136086 
HD_30177_b 9.68782 0.951 3.80821 0.193
Kepler-4_b 0.0772272 1.223 0.0455763 0
HD_190647_b 1.90296 1.1 2.07238 0.18
HD_97658_b 7.862 0.748 0.0796373 0.064
Kepler-57_b  0.83 0.0588891 
HD_106270_b 11.0314 1.32 4.3673 0.402
HD_30856_b 1.8481 1.35 2.03503 0.117
HD_48265_b 1.20645 0.93 1.59435 0.24
HD_89307_b 1.79148 0.989 3.26609 0.2
HD_163607_c 2.2924 1.09 2.41789 0.12
WASP-49_b 0.376728 0.938 0.0378972 0
Kepler-37_c  0.803 0.139784 0.0984886
Kepler-55_b  0.62 0.153688 
HD_4313_b 2.34791 1.72 1.17834 0.041
HR_8799_b  1.516 67.4293 0
HD_2638_b 0.477325 0.93 0.0435743 0
HD_168443_b 7.69745 0.995 0.29385 0.52883
HD_10180_f 0.0743252 1.06 0.49279 0.133
HD_45350_b 1.83614 1.054 1.94413 0.778
HD_69830_c 0.0367709 0.849 0.185072 0.13
Kepler-21_b 0 1.34 0.0427173 0
HD_47186_b 0.071203 0.99 0.0498411 0.038
KELT-3_b 1.454 1.282 0.0412729 0
Kepler-51_c  1 0.379271 
HD_148427_b 1.21259 1.485 1.06975 0.16
epsilon_Tau_b 7.62034 2.7 1.92936 0.151
Kepler-11_e 0.0264262 0.95 0.1939 0
HD_208487_b 0.5122 1.113 0.520765 0.24
epsilon_Eri_b 1.05448 0.82 3.37558 0.25
Kepler-69_c  0.81 0.709354 0.14
HD_20782_b 1.9 0.969 1.36607 0.97
HD_190360_c 0.0589738 0.983 0.129216 0.23747
Kepler-23_c 0 1.11 0.0986522 0
HD_65216_b 1.21636 0.92 1.37427 0.41
Kepler-42_b  0.13 0.0112809 
HAT-P-13_b 0.8514 1.22 0.0426946 0.0133
GJ_3634_b 0.0221881 0.45 0.0286881 0.08
Kepler-9_b 0.248865 1 0.140548 0.150841
HD_130322_b 1.04309 0.836 0.0896052 0.011
omega_Ser_b 1.70083 2.17 1.07698 0.106
HD_16175_b 4.37946 1.29 2.1185 0.6
HD_46375_b 0.227201 0.927 0.0399038 0.063
Kepler-48_c  0.89 0.0854683 
Kepler-60_d  1.11 0.105629 
Kepler-14_b 8.40643 1.512 0.0806879 0.0350051
CoRoT-13_b 1.3102 1.09 0.051069 0
HD_98219_b 1.83388 1.3 1.23037 0
HD_11964_b 0.618198 1.107 3.15465 0.041
HAT-P-34_b 3.32973 1.392 0.0677467 0.441
MOA-2010-BLG-477L_b  0.67  
Kepler-31_b  1.21 0.158038 0
HD_139357_b 10.0754 1.35 2.34618 0.1
HD_1461_b 0.0240044 1.026 0.0635202 0.14
HAT-P-30_b 0.706657 1.242 0.0419042 0.035
Kepler-37_b  0.803 0.102457 0
HD_8535_b 0.682196 1.13 2.4447 0.15
HAT-P-28_b 0.627451 1.025 0.0433674 0.051
HD_4203_b 2.08215 1.13 1.16537 0.519
HD_102956_b 0.951497 1.68 0.0810025 0.048
Fomalhaut_b  1.92 113.443 0.12
GJ_176_b 0.0259969 0.49 0.0656822 0
HD_23079_b 2.4433 1.012 1.59509 0.102
HD_178911_B_b 7.29127 1.06421 0.344904 0.114
WASP-58_b 0.890462 0.94 0.0562022 0
HD_162020_b 15.2138 0.8 0.0756944 0.277
MOA-bin-1L_b  0.75  
HD_168746_b 0.245103 0.916 0.0655505 0.107
GJ_876_c 0.612168 0.32 0.129574 0.25591
Kepler-20_c 0.0494862 0.912 0.0930411 0
Kepler-47_b  1.043 0.267621 0
HD_215497_b 0.020855 0.872 0.0465952 0.16
Kepler-62_f  0.69 0.717595 0.094434
HD_154345_b 0.956901 0.893 4.21377 0.044
Kepler-60_c  1.11 0.0871504 
HD_217107_b 1.40112 1.108 0.0750282 0.126686
mu_Ara_c 1.88907 1.147 5.34057 0.0985
HD_7199_b 0.295018 0.89 1.36155 0.19
GJ_433_b 0.0181986 0.48 0.0580371 0.08
HAT-P-31_b 2.16627 1.218 0.0611921 0.245
OGLE-TR-113_b 1.25508 0.779 0.0228946 0
Kepler-41_b 0.493327 0.94 0.0289537 0
HD_40307_d 0.028076 0.74 0.132422 0
HD_290327_b 2.54762 0.9 3.43052 0.08
GJ_876_e 0.039229 0.32 0.333345 0.055
HD_169830_c 4.06407 1.407 3.60184 0.33
47_UMa_c 0.545774 1.063 3.57197 0.098
HD_63765_b 0.643827 0.865 0.94038 0.24
HD_85390_b 0.131884 0.76 1.52377 0.41
WASP-77_A_b 0.119555 1.002 0.0240406 0
55_Cnc_e 0.0261924 0.905 0.0154393 0
HIP_57274_d 0.528573 0.73 1.00678 0.27
HD_221287_b 3.11535 1.25 1.25015 0.08
KOI-13_b  2.05 0.0362917 0
HD_192699_b 2.39704 1.69 1.14839 0.129
HD_181342_b 2.99952 1.58 1.73419 0.177
WASP-8_b 2.13728 1.03 0.080153 0.31
HD_131496_b 2.24115 1.61 2.1121 0.163
PSR_B1257+12_c   0.321369 0.0186
HD_44219_b 0.589265 1 1.18713 0.61
75_Cet_b 3.04335 2.49 2.07589 0.117
Kepler-27_b 0 0.65 0.10464 0
Kepler-40_b 2.17681 1.48 0.0806644 0
HD_220074_b 11.1883 1.2 1.60044 0.14
HAT-P-39_b 0.598375 1.404 0.0509456 0
WASP-26_b 1.00876 1.12 0.0399686 0
HIP_2247_b 5.12319 0.74 1.33884 0.54
GJ_876_d 0.0184193 0.32 0.0208066 0.207
OGLE-TR-56_b 1.35448 1.228 0.0238309 0
HD_38529_b 0.85711 1.477 0.131395 0.243663
BD_+20_2457_c 13.1737 2.8 2.01294 0.18
HD_22781_b 13.8403 0.75 1.16847 0.8191
HD_120084_b 4.4772 2.39 4.26892 0.66
MOA-2009-BLG-266L_b  0.56  
HD_20868_b 2.00901 0.78 0.947319 0.75
HAT-P-9_b 0.775153 1.28 0.0528645 0
Kepler-33_e  1.291 0.213825 0
Kepler-19_b 0 0.936 0.0845828 0
HD_107148_b 0.212171 1.137 0.270013 0.05
51_Peg_b 0.461143 1.054 0.0521068 0.013
WASP-60_b  1.078 0.0531041 0
55_Cnc_f 0.172877 0.905 0.773567 0.32
HD_212301_b 0.39615 1.05 0.034116 0
HAT-P-15_b 1.9513 1.013 0.0964692 0.19
HD_209458_b 0.68851 1.131 0.047235 0
HD_102272_b 5.91294 1.9 0.614906 0.05
HD_181433_b 0.0237331 0.78 0.0800943 0.396
HD_187123_b 0.510056 1.037 0.042091 0.0102736
HD_108147_b 0.257999 1.171 0.101407 0.53
WASP-61_b 2.05477 1.22 0.0514489 0
Kepler-58_b  0.95 0.0905953 
HD_215497_c 0.327524 0.872 1.28243 0.49
CoRoT-17_b 2.45898 1.04 0.0480499 0
HD_20794_d 0.0147932 0.7 0.349781 0
xi_Aql_b 2.80661 2.2 0.675889 0
HD_33564_b 9.12785 1.25 1.1241 0.34
HD_40979_b 4.02224 1.154 0.846038 0.252
GJ_581_c 0.0167756 0.31 0.0729238 0.07
HD_10180_c 0.0415054 1.06 0.0641175 0.077
WASP-31_b 0.477154 1.165 0.0466223 0
HD_134987_c 0.804926 1.054 5.82513 0.12
HD_40307_b 0.0129071 0.74 0.0468927 0
iota_Dra_b 12.715 1.82 1.53084 0.7124
HD_108874_b 1.2902 0.95 1.03527 0.1276
HD_4732_b 2.37727 1.74 1.19218 0.13
HD_23596_b 7.74272 1.159 2.77219 0.266
HD_25171_b 0.956204 1.09 3.03064 0.08
HD_83443_b 0.395855 0.991 0.0404623 0.013
WASP-36_b 2.25537 1.02 0.0262601 0
HD_43691_b 2.49717 1.38 0.241901 0.14
30_Ari_B_b 9.87792 1.16 0.99475 0.289
HAT-P-6_b 1.05632 1.29 0.0523738 0
Kepler-35_b 0.127 0.8877 0.48628 0.042
BD_-08_2823_c 0.328101 0.74 0.679166 0.19
4_UMa_b 7.13242 1.234 0.876999 0.432
Qatar-1_b 1.08272 0.85 0.0234308 0
HD_10697_b 6.23505 1.112 2.13177 0.099
Kepler-32_e  0.54 0.0323795 
Kepler-11_f 0.00723 0.95 0.249453 0
BD_+20_2457_b 22.6726 2.8 1.44993 0.15
mu_Ara_d 0.0345873 1.147 0.0927843 0.172
HD_3651_b 0.228975 0.882 0.29472 0.596
HD_99706_b 1.40289 1.72 2.13423 0.37
HD_169830_b 2.88946 1.407 0.813279 0.31
HD_175541_b 0.574881 1.524 1.00334 0.33
HD_202206_c 2.33098 1.074 2.49004 0.267
HD_145457_b 2.97219 1.9 0.762504 0.112
HD_206610_b 2.22576 1.56 1.6333 0.229
HD_12661_c 1.9487 1.136 2.91927 0.0312556
Kepler-12_b 0.431855 1.166 0.0556348 0
HAT-P-36_b 1.83475 1.022 0.0238229 0.063
WASP-35_b 0.716644 1.07 0.0431283 0
HD_69830_d 0.0563373 0.849 0.627426 0.07
HD_28254_b 1.1614 1.06 2.14768 0.81
HD_81688_b 2.6907 2.1 0.811148 0
HD_210277_b 1.27275 0.986 1.13105 0.476
WTS-1_b  1.2 0.0465809 0.05
HR_8799_c  1.516 42.4842 0
Kepler-51_b  1 0.248169 
XO-1_b 0.918265 1.027 0.049283 0
Kepler-33_d  1.291 0.166175 0
Kepler-20_d 0.0236858 0.912 0.345324 0
55_Cnc_b 0.801471 0.905 0.113377 0.004
HD_207832_b 0.564176 0.94 0.569755 0.13
WASP-55_b 0.57116 1.01 0.0532575 0
HD_33283_b 0.330171 1.24 0.145378 0.48
OGLE-TR-111_b 0.548481 0.852 0.0468862 0
MOA-2007-BLG-400L_b  0.3  
HD_10180_e 0.0797893 1.06 0.269917 0.065
55_Cnc_d 3.54451 0.905 5.47467 0.02
WASP-3_b 2.00437 1.22 0.0314948 0
HD_148156_b 0.847612 1.22 2.12913 0.52
TrES-5_b 1.77 0.893 0.0245157 0
HD_222155_b 2.02633 1.13 5.13864 0.16
HD_73526_b 2.8556 1.014 0.646509 0.19
HD_117207_b 1.8189 1.031 3.73753 0.144
HD_121504_b 1.2223 1.18 0.328688 0.03
HD_156846_b 11.0076 1.43 1.11751 0.8472
Kepler-18_b 0.0216244 0.972 0.0447299 0
HR_8799_d  1.516 26.7553 0.1
HAT-P-23_b 2.0884 1.13 0.0231971 0.106
HD_224693_b 0.714594 1.33 0.192441 0.05
HD_158038_b 1.79425 1.65 1.49788 0.291
Kepler-26_c 0 0.65 0.113189 0
GJ_179_b 0.824243 0.357 2.41241 0.21
Kepler-22_b 0 0.97 0.848513 
Kepler-68_c 0.0137538 1.079 0.0907019 0
Kepler-42_d  0.13 0.0150222 
HD_143361_b 3.03499 0.95 2.03474 0.18
HD_155358_b 0.819484 0.87 0.626938 0.17
HD_192310_b 0.0531258 0.8 0.322307 0.13
WASP-64_b 1.2691 1.004 0.0265195 0
upsilon_And_b 0.669277 1.31 0.0593858 0.013
Kepler-56_c  1.37 0.167568 
HD_86081_b 1.49595 1.21 0.0346186 0.008
HD_109246_b 0.768085 1.01 0.328074 0.12
Kepler-68_d 0.845413 1.079 1.39639 0.18
